City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
365,Didwana,27.4,74.5667,66.4,33,4,6.6,IN
366,Chicama,-7.8447,-79.1469,61.34,80,98,4.94,PE
367,Wajir,1.7471,40.0573,77.45,74,99,13.02,KE
368,Latung,5.5,120.8833,82.58,73,100,3.58,PH
369,Itupiranga,-5.1347,-49.3267,82.72,80,55,3.74,BR
370,Porto Nacional,-10.7081,-48.4172,80.6,65,16,0.69,BR
371,Cap Malheureux,-19.9842,57.6142,72.46,70,11,1.01,MU
372,Emerald,-23.5333,148.1667,85.33,51,10,8.05,AU
373,Leh,34.1667,77.5833,25.05,83,100,4.25,IN
374,Cumra,37.5732,32.7745,35.74,54,0,3.69,TR
375,Malacky,48.436,17.0219,44.02,99,0,7.9,SK
376,Priamurskiy,48.5217,134.9028,23.41,56,96,9.98,RU
377,Port Hawkesbury,45.6169,-61.3485,46.58,99,100,11.01,CA
378,Suihua,46.6406,126.9969,25.3,40,100,10.63,CN
379,Llanes,43.4198,-4.7549,62.89,84,100,12.59,ES
380,Manokwari,-0.8667,134.0833,79.12,87,100,1.34,ID
381,Nsanje,-16.92,35.262,76.68,71,97,3.09,MW
382,Namibe,-15.1961,12.1522,64.98,75,19,8.14,AO
383,Salalah,17.0151,54.0924,75.29,64,0,2.3,OM
384,Nikolayevsk-Na-Amure,53.1406,140.73,20.66,65,14,2.98,RU
385,Kieta,-6.2167,155.6333,85.73,66,70,5.37,PG
386,Nhulunbuy,-12.2333,136.7667,90.21,62,40,12.66,AU
387,Ust-Ishim,57.6935,71.1665,32.67,98,100,8.19,RU
388,Simbahan,6.3032,120.5836,83.25,76,100,5.84,PH
389,Muriti,-1.9833,32.9167,71.01,70,45,4.94,TZ
390,Udachnyy,66.4167,112.4,-24.56,67,100,4.56,RU
391,Ambilobe,-13.2,49.05,71.56,85,3,3.8,MG
392,College,64.8569,-147.8028,37.72,80,100,6.91,US
393,Vila Franca Do Campo,37.7167,-25.4333,64.81,79,100,12.48,PT
394,Constitucion,-35.3333,-72.4167,53.46,90,2,7.23,CL
395,Algiers,36.7525,3.042,53.42,76,0,4.61,DZ
396,Mountain Home,43.133,-115.6912,33.28,69,0,9.22,US
